,Special
〇,○
',
画,畫,划,劃
鹼,硷,碱
餘,余,馀
辩,辯,弁,辨,瓣
迭,叠,疊
卷,捲,巻
幺,么,麽
仿,彷,徬
舎,舍,捨
沉,沈,瀋
鉴,鑑,鑒

,Japanese only simplifications
冰,氷
巢,巣
乘,乗
佛,仏
假,仮
,舍,舎
,效,効
增,増
,卷,巻
德,徳
拜,拝
藏,蔵
黑,黒
窗,窓
缺,欠
步,歩
每,毎
,辨,瓣,弁
稻,稲

,Different simplifications between Japanese and Chineese
,两,両,,兩
恶,悪,,惡
单,単,,單
严,厳,,嚴
传,伝,,傳
价,価,,價
儿,児,,兒
变,変,,變
圆,円,,圓
劳,労,,勞
压,圧,,壓
营,営,,營
团,団,,團
图,図,,圖
围,囲,,圍
卖,売,,賣
盐,塩,,鹽
处,処,,處
据,拠,,據
实,実,,實
专,専,,專
县,県,,縣
广,広,,廣
应,応,,應
归,帰,,歸
战,戦,,戰
扩,拡,,擴
举,挙,,擧
从,従,,從
戏,戯,,戲
对,対,,對
荣,栄,,榮
樱,桜,,櫻
检,検,,檢
乐,楽,,樂
样,様,,樣
权,権,,權
产,産,,產
气,気,,氣
济,済,,濟
斋,斎,,齋
满,満,,滿
带,帯,,帶
壳,殻,,殼
历,歴,,歷
庄,荘,,莊
岁,歳,,歲
肃,粛,,肅
龙,竜,,龍
龟,亀,,龜
灵,霊,,靈
面,麺,,麵
烧,焼,,燒
发,発,,發
显,顕,,顯
,丝,糸,,絲
经,経,,經
绘,絵,,繪
续,続,,續
总,総,,總
,练,練,,練
绿,緑,,綠
缘,縁,,緣
绳,縄,,繩
坏,壊,,壞
绝,絶,,絕
继,継,,繼
纵,縦,,縱
纤,繊,,纖
脑,脳,,腦
脏,臓,,臟
,着,著,,著
药,薬,,藥
觉,覚,,覺
览,覧,,覽
颊,頬,,頰
观,観,,觀
译,訳,,譯
,证,証,,證
读,読,,讀
,说,説,,說
让,譲,,讓
丰,豊,,豐
赞,賛,,贊
转,転,,轉
轻,軽,,輕
边,辺,,邊
递,逓,,遞
迟,遅,,遲
乡,郷,,鄕
铁,鉄,,鐵
矿,鉱,,鑛/礦
钱,銭,,錢
,鉴,鑑,,鑒
,锐,鋭,,銳
录,録,,錄
铸,鋳,,鑄
炼,錬,,鍊
关,関,,關
险,険,,險
隐,隠,,隱
杂,雑,,雜
颜,顔,,顏
驿,駅,,驛
驱,駆,,驅
验,験,,驗
齿,歯,,齒
听,聴,,聽
厅,庁,,廳
击,撃,,擊
,辩,弁,,辯
涩,渋,,澀

' Removed or remove suspended cnversion
,迭,叠
象,像
复,覆
复,複

,a
锕,錒
,ai
呆,騃
爱,愛
碍,礙
挨,捱
蔼,藹
皑,皚
嫒,嬡
锿,鎄
暧,曖
嗳,噯
瑷,璦
霭,靄
,an
暗,闇
庵,菴
谙,諳
铵,銨
鹌,鵪
,ang
肮,骯
,ao
袄,襖
奥,奧
媪,媼
岙,嶴
鳌,鼇
骜,驁
,ba
罢,罷
坝,壩
钯,鈀
鲃,䰾
,bai
败,敗
摆,擺
呗,唄
,ban
办,辦
板,闆
绊,絆
颁,頒
钣,鈑
,bang
绑,綁
帮,幫
谤,謗
镑,鎊
,bao
宝,寶
报,報
饱,飽
刨,鉋
鸨,鴇
鲍,鮑
,bei
备,備
贝,貝
辈,輩
杯,盃
背,揹
惫,憊
狈,狽
钡,鋇
鹎,鵯
,ben
锛,錛
,beng
绷,繃
镚,鏰
,bi
毕,畢
闭,閉
币,幣
毙,斃
笔,筆
痹,痺
诐,詖
筚,篳
荜,蓽
铋,鉍
贲,賁
赑,贔
哔,嗶
鲾,鰏
跸,蹕
,bian
,辩,辯
编,編
变,變
辫,辮
边,邊
贬,貶
鳊,鯿
笾,籩
缏,緶
,biao
标,標
表,錶
镳,鑣
鳔,鰾
飙,飆
飑,颮
镖,鏢
,bie
别,別,彆
鳖,鼈,鱉
瘪,癟
,bin
宾,賓
滨,濱
缤,繽
濒,瀕
鬓,鬢
髌,髕
膑,臏
槟,檳
摈,擯
傧,儐
殡,殯
镔,鑌
,bing
饼,餅
并,併,並
禀,稟
,bo
卜,蔔
拨,撥
剥,剝
驳,駁
鲅,鮁
鲌,鮊
钹,鈸
镈,鎛
铂,鉑
袯,襏
钵,缽
鹁,鵓
饽,餑
檗,蘗
,bu
补,補
布,佈
钸,鈽
,cai
财,財
彩,綵
采,採
,can
惨,慘
蚕,蠶
参,參
灿,燦
惭,慚
残,殘
骖,驂
叁,叄
,cang
苍,蒼
舱,艙
仓,倉
沧,滄
伧,傖
,ce
册,冊
测,測
侧,側
厕,厠,廁
恻,惻
,ceng
层,層
,cha
刹,剎
镲,鑔
姹,奼
诧,詫
锸,鍤
馇,餷
,chai
侪,儕
虿,蠆
钗,釵
,chan
产,產
缠,纏
馋,饞
铲,剷,鏟
阐,闡
蝉,蟬
搀,攙
忏,懺
婵,嬋
谗,讒
禅,禪
蒇,蕆
镵,鑱
浐,滻
骣,驏
谄,諂
冁,囅
,chang
畅,暢
厂,廠
长,長
场,場
肠,腸
偿,償
尝,嘗,嚐
怅,悵
苌,萇
伥,倀
鲳,鯧
阊,閶
,chao
钞,鈔
,che
车,車
彻,徹
辙,轍
砗,硨
,chen
衬,襯
尘,塵
陈,陳
,沉,沈
谌,諶
缜,縝
碜,磣
榇,櫬
谶,讖
龀,齔
,cheng
诚,誠
惩,懲
称,稱
撑,撐
柽,檉
枨,棖
浈,湞
蛏,蟶
赪,赬
骋,騁
,chi
驰,馳
齿,齒
迟,遲
耻,恥
尺,呎
吃,喫
痴,癡
饬,飭
炽,熾
鸱,鴟
,chong
冲,衝,沖
虫,蟲
宠,寵
铳,銃
,chou
绸,綢
筹,籌
丑,醜
畴,疇
踌,躊
俦,儔
雠,讎
帱,幬
,chu
储,儲
厨,廚
处,處
础,礎
触,觸
锄,鋤
出,齣
雏,雛
橱,櫥
绌,絀
刍,芻
蹰,躕
,chuan
传,傳
钏,釧
,chuang
闯,闖
创,創
疮,瘡
床,牀
戗,戧
怆,愴
,chui
锤,錘,鎚
捶,搥
,chun
纯,純
唇,脣
莼,蒓
鹑,鶉
,chuo
绰,綽
辍,輟
龊,齪
,ci
辞,辭
词,詞
赐,賜
荠,薺
,cong
聪,聰
丛,叢
从,從
葱,蔥
囱,囪
骢,驄
枞,樅
苁,蓯
,cou
凑,湊
辏,輳
,cu
粗,麤
,cuan
窜,竄
蹿,躥
撺,攛
镩,鑹
,cun
村,邨
寸,吋
,cuo
错,錯
锉,銼
,da
达,達
垯,墶
鞑,韃
荙,薘
,dai
贷,貸
带,帶
,dan
诞,誕
胆,膽
单,單
弹,彈
担,擔
耽,躭
钽,鉭
箪,簞
掸,撣
惮,憚
瘅,癉
殚,殫
郸,鄲
,dang
档,檔
党,黨
荡,盪,蕩
挡,攩,擋
当,當,噹
裆,襠
铛,鐺
垱,壋
谠,讜
珰,璫
凼,氹
砀,碭
筜,簹
,dao
导,導
岛,島
盗,盜
祷,禱
捣,搗,擣
焘,燾
鱽,魛
,de
锝,鍀
,deng
灯,燈
邓,鄧
镫,鐙
,di
递,遞
敌,敵
抵,牴
缔,締
涤,滌
镝,鏑
籴,糴
觌,覿
诋,詆
谛,諦
轪,軑
,dian
颠,顛
垫,墊
电,電
点,點
淀,澱
钿,鈿
癫,癲
巅,巔
,diao
钓,釣
调,調
吊,弔
雕,鵰,彫
铞,銱
鲷,鯛
,die
,叠,疊
谍,諜
鲽,鰈
,ding
订,訂
钉,釘
顶,頂
锭,錠
,diu
丢,丟
铥,銩
,dong
冻,凍
栋,棟
东,東
动,動
冬,鼕
胨,腖
鸫,鶇
,dou
豆,荳
斗,鬥
钭,鈄
窦,竇
,du
赌,賭
独,獨
读,讀
牍,牘
镀,鍍
笃,篤
椟,櫝
阇,闍
渎,瀆
犊,犢
黩,黷
,duan
断,斷
缎,緞
锻,鍛
,dui
队,隊
对,對
兑,兌
怼,懟
镦,鐓
,dun
顿,頓
吨,噸
钝,鈍
炖,燉
趸,躉
,duo
夺,奪
堕,墮
缍,綞
铎,鐸
饳,飿
亸,嚲
,e
额,額
饿,餓
鹅,鵝
恶,噁,惡
鳄,鱷
讹,訛
垩,堊
轭,軛
阏,閼
谔,諤
鹗,鶚
锷,鍔
颚,顎
厄,阨
,er
儿,兒
饵,餌
尔,爾
贰,貳
铒,鉺
鸸,鴯
迩,邇
,fa
阀,閥
罚,罰
发,髮,發
珐,琺
,fan
烦,煩
贩,販
饭,飯
泛,汎,氾
范,範
矾,礬
钒,釩
